2316680249345253257;6;11344;28;1;750;691;511193;476501;6;251;1;NULL;93091;12;NULL;NULL;0
2316680249345256193;1;274;4;0;90;NULL;16728;NULL;NULL;80;NULL;NULL;3850;NULL;NULL;NULL;0
2316680249345260172;3;5151;26;1;515;410;246631;167178;NULL;91;NULL;NULL;65567;5;NULL;NULL;0
2316680249345264270;2;707;7;0;105;NULL;39358;NULL;NULL;80;NULL;NULL;6430;NULL;NULL;NULL;0
2316680249345266319;4;1634;6;0;90;NULL;30130;NULL;NULL;80;NULL;NULL;2795;NULL;NULL;NULL;0
2316680283704990334;2;8086;27;1;555;280;303804;206590;NULL;99;NULL;NULL;65380;11;NULL;NULL;1
2316680283704991625;7;15670;30;1;775;NULL;369550;237601;NULL;201;NULL;NULL;70357;9;NULL;NULL;1
2316680283705002639;1;155;2;0;90;NULL;7368;NULL;NULL;80;NULL;NULL;1685;NULL;NULL;NULL;0
2316680283705004688;2;619;6;0;105;NULL;52822;NULL;NULL;80;NULL;NULL;5990;NULL;NULL;NULL;0
2316680318064728703;4;12987;30;1;909;905;416429;340428;6;250;1;NULL;99279;12;NULL;NULL;1
2316680318064729993;1;1112;3;0;90;NULL;14008;NULL;NULL;80;NULL;NULL;2465;NULL;NULL;NULL;0
2316680318064731223;4;1475;6;0;95;NULL;31130;NULL;NULL;80;NULL;NULL;5285;NULL;NULL;NULL;0
2316680318064734861;3;3542;22;0;445;82;190517;109390;6;97;1;NULL;45951;4;NULL;NULL;0
